id,Passenger Type,Age,Type of Trip,Ticket Class,Trip Distance,Seat comfort,Departure/Arrival time convenient,Dining Service,Platform Location,Onboard wifi service,Onboard entertainment,Online support,Ease of Online booking,Train Staff Service,Leg room service,Baggage handling,Ticket Verification Service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,nation,Train Model Year,satisfaction
73235,Frequent Traveler,53,Work Commute,Standard,2404,4,4,4,4,1,3,1,4,4,4,4,3,4,5,1,0,Switzerland,1952,satisfied
73236,Frequent Traveler,59,Work Commute,First Class,852,1,1,1,1,2,5,5,3,3,3,3,4,3,4,0,0,Sweden,1968,satisfied
73237,Occasional Traveler,22,Work Commute,Standard,1581,0,0,0,3,2,0,2,2,1,3,1,3,4,2,0,0,Italy,1954,satisfied
73238,Frequent Traveler,36,Work Commute,Standard,1128,2,4,4,4,2,2,2,2,2,4,2,1,1,2,0,0,Netherlands,2005,dissatisfied
73239,Frequent Traveler,23,Leisure Trip,Standard,1031,2,2,2,2,5,4,5,3,3,3,3,4,3,3,0,0,Switzerland,1996,satisfied
73240,Frequent Traveler,55,Work Commute,First Class,857,4,4,4,4,3,1,3,4,4,4,4,4,4,4,0,0,Sweden,1987,satisfied
73241,Frequent Traveler,15,Leisure Trip,Comfort,1859,3,3,3,3,3,4,4,4,4,4,4,3,4,4,60,75,Switzerland,1985,satisfied
73242,Frequent Traveler,10,Leisure Trip,Standard,3257,3,3,3,3,5,5,4,4,4,4,4,3,4,4,10,0,Belgium,2007,satisfied
73243,Frequent Traveler,58,Leisure Trip,Standard,2617,4,4,4,2,1,4,1,1,3,4,5,3,2,1,61,33,Norway,1968,dissatisfied
73244,Occasional Traveler,47,Work Commute,Standard,1455,3,3,3,4,2,3,2,2,5,2,5,3,1,2,9,16,Austria,1940,dissatisfied
73245,Frequent Traveler,27,Leisure Trip,Comfort,1787,4,1,4,2,1,4,1,1,1,1,3,3,3,1,0,22,France,2009,dissatisfied
73246,Frequent Traveler,67,Work Commute,First Class,3403,1,1,1,1,2,3,4,5,5,5,5,4,5,3,0,0,Italy,1947,satisfied
73247,Frequent Traveler,45,Work Commute,First Class,670,5,5,5,5,3,4,5,4,4,4,4,5,4,5,0,0,Belgium,2011,satisfied
73248,Frequent Traveler,40,Leisure Trip,Standard,3596,4,4,4,4,2,4,,2,2,2,3,3,3,2,10,0,Norway,2015,dissatisfied
73249,Frequent Traveler,16,Leisure Trip,Standard,3927,5,5,5,5,3,4,5,5,5,5,5,3,5,5,0,0,France,1999,satisfied
73250,Frequent Traveler,30,Work Commute,Comfort,2088,1,3,4,3,2,1,1,1,2,3,3,1,3,1,181,162,Netherlands,2007,dissatisfied
73251,Frequent Traveler,32,Leisure Trip,First Class,2140,1,1,1,1,2,4,5,4,4,4,5,2,4,4,2,0,Austria,2011,satisfied
73252,Frequent Traveler,49,Leisure Trip,Standard,369,5,5,5,1,4,5,4,3,3,5,3,5,3,4,1,0,Italy,1978,satisfied
73253,Frequent Traveler,17,Leisure Trip,Standard,1711,2,1,2,4,2,2,2,2,4,2,3,4,4,2,2,8,Netherlands,1992,dissatisfied
73254,Occasional Traveler,29,Work Commute,Comfort,3879,1,1,1,3,2,1,2,2,3,4,3,1,4,2,0,0,Switzerland,2015,dissatisfied
73255,Frequent Traveler,30,Work Commute,First Class,3179,4,4,4,4,5,5,5,5,3,4,4,5,5,5,0,0,France,2015,satisfied
73256,Frequent Traveler,46,Work Commute,First Class,333,3,3,3,3,4,5,4,5,5,5,5,3,5,5,0,18,Spain,2005,satisfied
73257,Occasional Traveler,40,Work Commute,First Class,2265,3,3,3,3,3,3,3,4,2,4,4,3,3,3,132,164,France,2011,dissatisfied
73258,Frequent Traveler,27,Work Commute,Comfort,2190,2,2,2,2,2,2,2,2,1,3,3,3,4,2,11,2,Sweden,1929,dissatisfied
73259,Frequent Traveler,47,Leisure Trip,Standard,1816,1,4,1,4,1,1,1,1,5,4,4,5,4,1,31,19,Spain,1958,dissatisfied
73260,Frequent Traveler,45,Work Commute,First Class,873,4,4,4,4,5,5,5,4,4,4,4,5,4,3,1,3,Netherlands,1963,satisfied
73261,Occasional Traveler,41,Work Commute,First Class,1486,1,1,1,5,3,1,3,3,3,5,5,3,4,3,0,4,Switzerland,2008,dissatisfied
73262,Frequent Traveler,11,Leisure Trip,Standard,1447,2,2,2,2,3,4,5,5,5,5,5,4,5,3,0,0,Austria,1948,satisfied
73263,Frequent Traveler,64,Leisure Trip,Standard,873,5,4,4,4,1,3,4,5,5,5,5,4,5,1,0,0,France,1968,satisfied
73264,Occasional Traveler,73,Work Commute,First Class,1780,2,2,2,4,1,2,1,1,3,3,4,2,4,1,0,0,Norway,1938,dissatisfied
73265,Occasional Traveler,20,Work Commute,Standard,1938,3,4,3,3,1,3,1,1,2,4,4,2,4,1,16,16,Switzerland,1933,dissatisfied
73266,Occasional Traveler,48,Work Commute,First Class,1696,3,3,3,1,5,3,5,5,5,3,5,5,5,5,3,8,France,1931,dissatisfied
73267,Frequent Traveler,49,Work Commute,First Class,2756,2,5,5,5,2,2,2,4,4,3,2,4,4,1,0,0,Germany,1946,dissatisfied
73268,Frequent Traveler,69,Leisure Trip,Standard,1814,3,5,4,2,5,5,4,2,2,4,4,4,2,5,0,0,Switzerland,1940,dissatisfied
73269,Frequent Traveler,59,Work Commute,First Class,2146,3,4,4,4,1,1,1,3,3,3,3,1,3,3,0,0,Norway,1975,dissatisfied
73270,Occasional Traveler,35,Work Commute,First Class,1043,3,3,3,2,4,3,1,4,5,4,4,5,4,4,0,0,Spain,1951,dissatisfied
73271,Frequent Traveler,34,Work Commute,First Class,583,5,5,2,5,2,5,5,2,2,2,2,5,2,3,23,26,Netherlands,1947,satisfied
73272,Frequent Traveler,23,Work Commute,Standard,4401,2,2,2,2,2,1,2,1,2,2,4,2,2,2,283,273,Norway,1987,dissatisfied
73273,Frequent Traveler,56,Work Commute,First Class,495,2,2,2,2,4,5,5,5,5,5,5,4,5,3,0,0,Austria,1953,satisfied
73274,Frequent Traveler,30,Work Commute,First Class,3432,4,4,4,4,3,3,3,3,5,3,4,3,5,,6,29,Austria,1995,satisfied
73275,Frequent Traveler,59,Leisure Trip,Standard,2391,2,4,2,1,4,2,1,4,4,2,3,5,5,4,11,23,France,1992,dissatisfied
73276,Occasional Traveler,23,Work Commute,Standard,2038,3,2,3,3,1,3,1,1,1,3,2,4,3,1,16,7,Belgium,1943,dissatisfied
73277,Occasional Traveler,37,Work Commute,First Class,1406,2,2,2,2,2,2,2,2,3,4,5,5,4,2,0,0,Switzerland,1938,dissatisfied
73278,Frequent Traveler,37,Work Commute,First Class,1524,5,5,2,5,4,4,5,2,2,2,2,5,2,5,0,0,Austria,1938,satisfied
73279,Frequent Traveler,53,Work Commute,First Class,1864,2,2,2,2,2,5,4,5,5,5,5,3,5,5,5,0,France,1957,satisfied
73280,Frequent Traveler,64,Work Commute,First Class,3741,1,1,1,1,4,5,4,4,4,4,3,2,4,1,0,0,Austria,1942,satisfied
73281,Occasional Traveler,41,Work Commute,Standard,2031,2,3,2,3,3,2,3,3,2,5,4,2,3,3,0,0,Belgium,1958,dissatisfied
73282,Occasional Traveler,26,Work Commute,First Class,2087,3,3,3,1,3,3,3,3,5,2,4,3,5,3,17,16,Switzerland,1983,dissatisfied
73283,Frequent Traveler,29,Work Commute,Standard,1274,4,5,5,5,4,4,4,4,5,5,2,4,3,4,0,0,Netherlands,1990,satisfied
73284,Frequent Traveler,39,Work Commute,First Class,2487,2,2,2,2,1,1,5,3,3,4,3,1,3,3,2,0,Italy,1961,satisfied
73285,Frequent Traveler,33,Work Commute,First Class,2518,4,4,4,4,2,2,,4,2,4,5,2,3,2,0,0,Switzerland,1941,satisfied
73286,Frequent Traveler,43,Work Commute,First Class,3423,3,2,2,2,1,3,4,3,3,3,3,3,3,2,24,10,Germany,1969,dissatisfied
73287,Frequent Traveler,62,Work Commute,First Class,2013,4,5,5,5,1,4,1,3,2,3,4,1,3,1,285,251,Switzerland,1984,dissatisfied
73288,Frequent Traveler,66,Work Commute,Standard,233,5,4,4,4,4,4,2,4,4,5,4,3,4,4,0,0,France,1951,satisfied
73289,Frequent Traveler,58,Work Commute,First Class,1535,2,2,2,2,3,4,4,5,5,5,5,4,5,4,16,15,France,2016,satisfied
73290,Frequent Traveler,42,Leisure Trip,Standard,1234,3,5,0,3,4,0,4,4,,4,4,3,5,4,0,0,Germany,1980,dissatisfied
73291,Frequent Traveler,58,Leisure Trip,Standard,1439,2,4,2,1,3,2,3,3,3,5,4,5,5,3,28,35,Switzerland,2018,dissatisfied
73292,Occasional Traveler,39,Work Commute,First Class,2292,4,4,4,1,3,4,3,3,5,4,5,4,5,3,0,0,Italy,1974,dissatisfied
73293,Occasional Traveler,65,Work Commute,First Class,2076,4,4,4,5,4,4,4,4,3,2,4,5,5,4,19,2,Austria,2004,dissatisfied
73294,Frequent Traveler,22,Work Commute,Standard,2021,1,1,0,3,4,0,4,4,4,5,3,1,2,4,0,0,Sweden,1983,dissatisfied
73295,Occasional Traveler,25,Work Commute,Standard,2981,2,1,1,2,4,2,4,4,3,4,3,1,2,4,0,0,France,1948,dissatisfied
73296,Frequent Traveler,35,Work Commute,Standard,1933,3,3,3,3,3,3,3,3,2,2,3,4,4,3,26,12,Netherlands,1944,dissatisfied
73297,Frequent Traveler,38,Work Commute,First Class,77,2,1,1,1,2,4,3,1,1,1,2,1,1,2,0,0,Spain,2009,dissatisfied
73298,Occasional Traveler,54,Work Commute,First Class,3021,3,3,3,1,4,3,4,4,5,2,3,5,4,4,0,3,Netherlands,1949,dissatisfied
73299,Occasional Traveler,22,Work Commute,Standard,1941,3,3,3,3,3,3,3,3,3,3,2,2,3,3,0,0,Germany,1945,dissatisfied
73300,Frequent Traveler,9,Leisure Trip,Standard,2693,4,4,4,4,5,4,4,5,3,3,5,5,5,5,42,46,Italy,1977,satisfied
73301,Frequent Traveler,54,Work Commute,Comfort,468,5,1,1,1,5,3,2,5,5,5,5,5,5,4,0,0,Switzerland,1929,satisfied
73302,Frequent Traveler,7,Leisure Trip,Comfort,1785,2,3,2,3,1,2,1,1,2,4,3,2,4,1,0,0,Norway,2015,dissatisfied
73303,Occasional Traveler,20,Work Commute,Standard,1760,1,0,1,3,5,1,5,5,3,4,4,5,4,5,0,0,Norway,2000,dissatisfied
73304,Frequent Traveler,40,Work Commute,First Class,2003,4,4,4,4,5,4,3,1,1,2,4,2,1,2,0,0,Austria,1963,dissatisfied
73305,Frequent Traveler,59,Work Commute,First Class,3272,4,4,4,4,3,5,5,4,4,4,4,4,4,5,7,6,France,1951,satisfied
73306,Occasional Traveler,28,Work Commute,First Class,2507,4,3,3,1,3,3,3,3,3,2,4,5,5,3,0,0,Sweden,1995,dissatisfied
73307,Frequent Traveler,45,Work Commute,First Class,3158,2,4,5,4,5,4,4,2,2,3,2,3,2,4,0,0,France,1974,dissatisfied
73308,Frequent Traveler,51,Work Commute,First Class,2533,4,4,3,4,5,1,1,5,5,5,5,4,5,1,0,0,Italy,2016,satisfied
73309,Frequent Traveler,52,Work Commute,First Class,2562,3,3,3,3,4,5,5,4,4,5,1,5,2,5,0,0,Netherlands,1985,satisfied
73310,Frequent Traveler,22,Work Commute,Standard,2303,4,1,5,1,4,4,5,4,3,1,1,4,2,4,0,0,Austria,1959,satisfied
73311,Frequent Traveler,54,Work Commute,Standard,812,3,3,3,3,2,3,3,3,3,3,3,3,3,4,16,33,Netherlands,1986,dissatisfied
73312,Frequent Traveler,31,Work Commute,First Class,4549,3,1,1,1,3,3,3,3,2,2,4,1,3,3,85,78,Sweden,2019,dissatisfied
73313,Occasional Traveler,39,Work Commute,First Class,1473,5,5,5,2,4,5,4,4,5,3,4,,5,4,2,0,Switzerland,1977,satisfied
73314,Occasional Traveler,20,Leisure Trip,First Class,2946,3,5,3,2,3,3,3,3,3,3,5,3,5,3,8,37,Germany,1958,dissatisfied
73315,Frequent Traveler,49,Work Commute,First Class,2525,4,4,5,4,4,4,4,5,3,4,5,4,4,4,0,0,Spain,2001,satisfied
73316,Frequent Traveler,29,Work Commute,Comfort,2911,4,5,5,5,4,4,4,4,5,3,5,2,4,4,0,0,Norway,2019,satisfied
73317,Frequent Traveler,31,Leisure Trip,Standard,3504,2,2,1,3,5,1,5,5,1,5,2,2,3,5,35,36,France,1931,dissatisfied
73318,Frequent Traveler,35,Work Commute,First Class,373,4,4,4,4,5,3,2,4,4,4,4,2,4,5,0,0,Switzerland,1997,satisfied
73319,Frequent Traveler,50,Leisure Trip,Standard,488,5,5,5,5,5,3,5,4,4,4,4,4,4,2,5,0,Italy,1995,satisfied
73320,Frequent Traveler,60,,First Class,3837,2,,2,2,4,4,4,4,4,4,4,5,4,5,0,0,Sweden,1942,satisfied
73321,Frequent Traveler,30,Work Commute,Comfort,1637,4,4,4,4,4,4,4,4,1,5,4,1,3,4,0,0,Austria,1954,satisfied
73322,Frequent Traveler,46,Leisure Trip,Comfort,274,4,4,4,4,4,4,4,2,4,3,1,4,3,4,0,0,Norway,1948,satisfied
73323,Frequent Traveler,12,Leisure Trip,Standard,1754,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,Austria,1995,dissatisfied
73324,Frequent Traveler,54,Leisure Trip,Comfort,907,3,3,3,3,3,5,2,4,4,4,4,5,4,4,0,0,Switzerland,1937,satisfied
73325,Frequent Traveler,52,Work Commute,First Class,1473,5,5,5,5,3,5,5,5,5,4,5,5,5,4,1,0,Austria,1935,satisfied
73326,Frequent Traveler,60,Leisure Trip,Standard,119,0,0,0,3,3,4,4,4,4,1,1,5,4,3,0,0,Switzerland,1957,satisfied
73327,Occasional Traveler,23,Work Commute,Standard,1529,2,3,2,4,5,2,5,5,1,2,3,1,3,5,13,16,Austria,1938,dissatisfied
73328,Frequent Traveler,43,Work Commute,First Class,314,0,0,0,4,2,1,4,5,5,5,5,4,5,3,0,0,Germany,1956,satisfied
73329,Frequent Traveler,64,Work Commute,Standard,1489,3,3,1,3,3,3,3,3,2,5,4,4,4,3,16,9,Sweden,1998,dissatisfied
73330,Frequent Traveler,61,Leisure Trip,Standard,2969,2,4,2,4,1,2,3,1,4,4,3,3,4,1,0,0,Germany,1932,dissatisfied
73331,Occasional Traveler,26,Work Commute,Standard,2894,2,2,2,4,3,2,2,3,2,3,3,3,3,3,0,2,France,1950,dissatisfied
73332,Frequent Traveler,27,Leisure Trip,Standard,1984,5,2,2,2,5,5,5,5,5,1,5,2,3,5,0,0,Sweden,1943,satisfied
73333,Frequent Traveler,49,Work Commute,First Class,799,1,1,1,1,3,5,4,5,5,5,5,3,5,5,0,0,Netherlands,2008,satisfied
73334,Frequent Traveler,39,Leisure Trip,Standard,1300,4,2,2,2,4,1,1,4,4,4,4,3,4,3,0,0,Netherlands,1937,satisfied
73335,Frequent Traveler,49,Work Commute,Standard,2561,2,4,4,4,2,2,2,2,3,4,4,2,4,2,0,0,Spain,2012,dissatisfied
73336,Frequent Traveler,58,Work Commute,Standard,2246,2,4,4,4,2,2,2,2,2,4,3,1,3,2,9,2,Sweden,1973,dissatisfied
73337,Frequent Traveler,56,Work Commute,First Class,450,5,5,2,5,2,4,4,2,2,2,2,3,2,5,0,0,Sweden,2008,satisfied
73338,Frequent Traveler,42,,First Class,2137,5,5,5,5,4,4,4,4,3,4,4,4,4,4,183,187,Austria,1985,satisfied
73339,Frequent Traveler,10,Leisure Trip,Standard,1382,2,2,2,2,5,5,5,4,4,4,4,3,4,4,20,12,Germany,1930,satisfied
73340,Frequent Traveler,53,Work Commute,First Class,3744,5,5,5,5,3,4,4,1,1,2,1,5,1,5,3,0,France,2016,satisfied
73341,Occasional Traveler,29,Work Commute,First Class,1893,3,2,2,3,5,2,5,5,3,4,4,3,4,5,0,0,Norway,2001,dissatisfied
73342,Frequent Traveler,49,Work Commute,Comfort,110,4,4,4,4,3,5,1,4,4,4,4,3,4,3,15,16,Belgium,2004,satisfied
73343,Frequent Traveler,,Work Commute,First Class,3262,1,1,1,1,5,5,5,5,2,5,5,1,5,5,0,0,Germany,2004,satisfied
73344,Frequent Traveler,66,Work Commute,First Class,1194,4,4,4,4,4,4,4,5,5,5,5,,5,4,0,0,Spain,1973,satisfied
73345,Occasional Traveler,50,Work Commute,First Class,3037,2,3,3,1,3,2,3,3,3,5,4,3,4,3,80,71,Norway,2008,dissatisfied
73346,Frequent Traveler,40,Work Commute,First Class,230,1,1,1,1,5,4,3,1,1,1,1,4,1,2,0,0,Italy,1960,dissatisfied
73347,Frequent Traveler,29,Work Commute,First Class,3302,5,5,5,5,4,4,4,4,4,5,5,5,4,4,4,0,Spain,1929,satisfied
73348,Frequent Traveler,34,Leisure Trip,Standard,1392,2,1,2,3,2,2,2,2,2,5,3,1,4,2,2,0,Switzerland,2010,dissatisfied
73349,Frequent Traveler,47,Leisure Trip,Standard,1649,3,4,3,4,4,3,4,4,5,4,5,5,5,4,0,1,Austria,2019,dissatisfied
73350,Frequent Traveler,15,Leisure Trip,Standard,1760,2,2,2,2,4,4,4,4,4,1,4,3,3,4,0,0,Germany,1957,satisfied
73351,Frequent Traveler,32,Work Commute,Standard,1767,4,4,4,4,4,4,4,4,2,5,1,2,4,4,0,0,Sweden,1957,satisfied
73352,Frequent Traveler,20,Leisure Trip,First Class,1791,4,0,4,3,1,4,1,1,3,4,5,3,4,1,93,92,Switzerland,2013,satisfied
73353,Frequent Traveler,55,Work Commute,First Class,1157,4,4,4,4,3,4,4,4,4,4,4,5,4,5,2,0,Sweden,1958,satisfied
73354,Frequent Traveler,70,Leisure Trip,Standard,2056,4,5,4,2,2,,2,2,3,1,3,4,4,2,0,0,Norway,2015,satisfied
73355,Occasional Traveler,37,Work Commute,Standard,973,3,2,3,3,1,3,1,1,3,1,4,4,4,1,0,0,Germany,1965,dissatisfied
73356,Frequent Traveler,52,Work Commute,First Class,902,3,3,3,3,3,5,5,4,4,4,4,3,4,5,86,65,Austria,1965,satisfied
73357,Frequent Traveler,56,Work Commute,First Class,1749,2,2,2,2,5,5,5,5,2,4,4,5,5,5,147,139,Norway,1960,satisfied
73358,Frequent Traveler,29,Work Commute,First Class,2236,1,1,1,1,4,4,4,4,2,3,2,3,1,4,0,0,Belgium,1982,satisfied
73359,Occasional Traveler,21,Work Commute,Standard,1525,3,0,3,4,3,3,4,3,3,5,5,5,5,3,0,0,Spain,1997,dissatisfied
73360,Frequent Traveler,22,Work Commute,First Class,2540,2,3,3,3,2,2,,2,1,5,3,1,3,2,0,0,France,1991,dissatisfied
73361,Frequent Traveler,56,Work Commute,First Class,3291,2,2,2,2,5,4,5,5,5,5,5,5,5,5,0,7,Norway,1950,satisfied
73362,Occasional Traveler,42,Work Commute,First Class,1879,2,2,2,2,2,2,2,2,5,4,5,3,4,2,9,0,France,1970,dissatisfied
73363,Frequent Traveler,46,Leisure Trip,Standard,1986,1,4,1,4,,1,3,3,3,4,5,5,4,3,0,0,Italy,1985,dissatisfied
73364,Frequent Traveler,47,Work Commute,Comfort,98,4,1,5,5,2,2,3,4,4,4,4,5,4,4,0,0,Sweden,1972,satisfied
73365,Frequent Traveler,26,Leisure Trip,Standard,1681,4,4,3,4,4,5,4,5,5,5,5,5,5,3,34,34,Germany,1961,satisfied
73366,Frequent Traveler,40,Work Commute,Standard,3796,5,3,3,3,5,5,5,5,1,3,5,3,3,5,0,5,Austria,1956,satisfied
73367,Frequent Traveler,71,Work Commute,Comfort,2270,2,3,3,3,1,2,1,1,1,4,2,3,2,1,0,0,Norway,2019,dissatisfied
73368,Frequent Traveler,64,Leisure Trip,Comfort,703,3,3,3,3,5,5,5,5,1,1,1,3,4,5,14,0,Switzerland,1949,satisfied
73369,Frequent Traveler,38,Work Commute,First Class,3504,1,1,1,1,1,1,1,1,4,3,3,1,2,1,167,170,Sweden,1978,dissatisfied
73370,Frequent Traveler,59,Leisure Trip,Standard,1529,2,4,0,3,1,0,1,1,5,3,5,4,4,1,0,0,France,1975,dissatisfied
73371,Frequent Traveler,47,Work Commute,First Class,453,1,1,1,1,3,5,4,5,5,5,5,3,5,4,0,7,Switzerland,1955,satisfied
73372,Frequent Traveler,12,Leisure Trip,Standard,1859,2,2,2,3,1,2,2,1,1,2,3,2,4,1,57,35,Sweden,1976,dissatisfied
73373,Frequent Traveler,37,Leisure Trip,Standard,2199,2,4,2,4,5,2,3,5,4,5,3,4,3,5,0,0,Netherlands,1975,dissatisfied
73374,Occasional Traveler,27,Work Commute,First Class,1717,4,4,4,3,3,4,3,3,3,2,5,5,5,3,11,7,Norway,1973,satisfied
73375,Frequent Traveler,42,Work Commute,First Class,1936,3,3,3,3,3,4,5,5,5,5,5,3,5,4,2,0,Norway,1969,satisfied
73376,Frequent Traveler,44,Work Commute,First Class,2283,1,1,1,1,4,4,4,5,5,4,5,4,3,4,128,143,Belgium,1944,satisfied
73377,Frequent Traveler,53,Work Commute,First Class,1847,5,5,5,5,4,4,5,4,4,4,4,5,4,3,0,51,Norway,2008,satisfied
73378,Frequent Traveler,19,Leisure Trip,Standard,2915,3,5,3,4,4,3,4,4,3,4,5,4,4,4,42,27,Belgium,1957,dissatisfied
73379,Occasional Traveler,29,Work Commute,First Class,1740,5,5,5,2,4,5,4,4,5,2,5,4,4,4,0,0,Sweden,2001,satisfied
73380,Frequent Traveler,53,Work Commute,Standard,2335,4,5,5,5,4,4,4,4,3,5,3,3,4,4,33,19,Belgium,1994,satisfied
73381,Frequent Traveler,27,Leisure Trip,Standard,2329,2,1,2,3,2,2,3,2,2,2,2,4,3,2,0,0,Netherlands,1943,dissatisfied
73382,Frequent Traveler,60,Work Commute,First Class,722,5,5,5,5,2,4,5,4,4,4,4,3,4,4,0,0,Austria,1938,satisfied
73383,Frequent Traveler,46,Leisure Trip,Standard,1492,3,5,3,5,2,4,4,4,4,3,4,3,4,5,21,19,Netherlands,2003,dissatisfied
73384,Frequent Traveler,29,Work Commute,First Class,4330,2,2,2,2,4,4,4,4,4,5,5,5,5,4,0,0,Sweden,1935,satisfied
73385,Frequent Traveler,48,Work Commute,Standard,2534,1,3,3,3,1,1,1,1,4,2,2,1,2,1,0,4,Netherlands,1994,dissatisfied
73386,Frequent Traveler,49,Leisure Trip,Standard,764,4,5,4,1,4,4,4,5,5,4,5,4,5,5,0,0,Austria,2011,dissatisfied
73387,Frequent Traveler,40,Work Commute,Standard,1484,5,2,2,2,5,5,5,5,3,5,4,4,5,5,0,0,France,1961,satisfied
73388,Frequent Traveler,34,Leisure Trip,Standard,1409,3,3,3,4,3,3,3,3,3,2,4,3,3,3,0,0,Germany,1944,dissatisfied
73389,Frequent Traveler,50,Leisure Trip,Standard,926,3,3,3,3,3,5,5,4,4,4,4,5,4,4,0,0,Norway,1942,satisfied
73390,Frequent Traveler,23,Leisure Trip,Standard,2852,2,2,2,4,2,3,3,3,5,3,4,3,4,3,175,180,Germany,1997,dissatisfied
73391,Frequent Traveler,22,Work Commute,First Class,4961,1,1,2,1,4,4,4,4,4,2,4,5,4,4,0,0,Italy,1971,satisfied
73392,Frequent Traveler,36,Work Commute,First Class,1768,2,2,2,2,3,3,4,2,2,2,2,4,2,2,59,52,Netherlands,1950,dissatisfied
73393,Frequent Traveler,59,Work Commute,First Class,1716,0,0,0,2,2,5,5,4,4,4,4,3,4,3,34,37,Belgium,1945,satisfied
73394,Frequent Traveler,56,Work Commute,First Class,2926,2,2,2,2,5,4,5,4,4,4,4,3,4,4,0,0,Italy,2013,satisfied
73395,Frequent Traveler,58,Work Commute,First Class,1586,1,1,1,1,3,5,5,4,4,4,4,3,4,3,0,0,Austria,1994,satisfied
73396,Frequent Traveler,49,Work Commute,First Class,3299,3,5,5,5,5,4,3,3,3,3,3,4,3,3,31,24,Spain,1931,dissatisfied
73397,Frequent Traveler,25,Work Commute,First Class,2278,3,3,3,3,3,3,3,3,4,5,3,4,3,3,0,0,Sweden,1965,dissatisfied
73398,Frequent Traveler,60,Work Commute,First Class,1803,5,5,5,5,2,5,5,4,4,4,4,5,4,5,0,0,Sweden,2009,satisfied
73399,Frequent Traveler,26,Work Commute,Comfort,1749,4,1,1,1,4,4,4,4,1,1,1,5,3,4,0,0,Italy,1956,satisfied
73400,Frequent Traveler,11,Leisure Trip,Standard,3134,2,3,2,3,4,2,4,4,1,5,2,3,4,4,3,0,France,1954,dissatisfied
73401,Frequent Traveler,34,Leisure Trip,Standard,3451,2,4,2,3,1,2,1,1,4,5,4,4,4,1,0,0,Norway,2010,dissatisfied
73402,Frequent Traveler,60,Work Commute,First Class,1037,3,3,3,3,2,4,5,4,4,4,4,4,4,5,21,0,Sweden,2020,satisfied
73403,Frequent Traveler,50,Work Commute,First Class,2037,1,3,3,3,4,1,3,4,3,4,4,3,2,3,455,,Italy,1963,dissatisfied
73404,Frequent Traveler,30,Leisure Trip,Standard,1868,3,5,3,3,1,3,1,1,5,3,4,3,5,1,0,0,Belgium,1953,dissatisfied
73405,Frequent Traveler,58,Work Commute,First Class,3353,5,5,5,5,2,5,4,5,5,5,5,4,5,5,0,0,Sweden,2002,satisfied
73406,Frequent Traveler,44,Work Commute,First Class,531,1,1,5,1,4,2,2,5,,4,5,3,5,2,0,0,Belgium,1965,satisfied
73407,Frequent Traveler,42,Work Commute,First Class,303,0,0,0,2,5,4,4,3,3,3,3,5,3,3,0,0,France,1993,satisfied
73408,Frequent Traveler,63,Work Commute,First Class,3166,5,5,5,5,5,4,4,4,4,4,4,3,4,4,0,0,Spain,1936,satisfied
73409,Frequent Traveler,37,Work Commute,Standard,4199,3,5,5,5,3,3,3,3,1,5,4,1,4,3,44,24,Germany,2000,
73410,Occasional Traveler,47,Work Commute,First Class,1813,3,3,3,4,3,3,1,3,5,2,5,4,4,3,4,0,Germany,1976,dissatisfied
73411,Frequent Traveler,47,Work Commute,Standard,656,2,2,2,2,3,3,3,2,2,2,2,2,2,1,53,33,Germany,1975,dissatisfied
73412,Occasional Traveler,23,Work Commute,Standard,2401,1,1,1,2,2,1,2,2,1,2,3,1,1,2,0,0,Switzerland,1934,dissatisfied
73413,Frequent Traveler,39,Work Commute,First Class,2730,3,1,3,3,4,4,4,5,1,4,1,4,4,4,0,0,Switzerland,1980,satisfied
73414,Frequent Traveler,66,Work Commute,First Class,2915,2,2,2,2,5,5,4,5,5,5,5,4,5,3,0,0,Netherlands,1957,satisfied
73415,Occasional Traveler,38,Work Commute,First Class,1584,2,2,2,2,5,2,5,5,5,2,5,3,4,5,0,0,Norway,1959,dissatisfied
73416,Occasional Traveler,26,Work Commute,First Class,1655,1,5,1,4,2,1,2,2,5,3,4,4,4,2,12,5,Germany,2014,dissatisfied
73417,Frequent Traveler,48,Work Commute,First Class,257,1,5,5,5,4,4,3,1,1,1,1,1,1,4,0,0,Spain,1940,dissatisfied
73418,Frequent Traveler,56,Work Commute,Standard,1143,1,2,2,2,3,4,3,1,1,1,1,4,1,2,0,0,Belgium,2007,dissatisfied
73419,Frequent Traveler,13,Leisure Trip,Standard,2235,2,1,2,3,1,2,1,1,3,5,3,2,3,1,4,0,Sweden,1929,dissatisfied
73420,Frequent Traveler,39,Work Commute,First Class,2024,1,3,3,3,4,4,3,1,1,1,1,4,1,3,5,0,Germany,1997,dissatisfied
73421,Frequent Traveler,59,Leisure Trip,Standard,2122,4,4,4,1,4,4,4,4,3,3,5,4,4,4,0,0,Austria,1984,dissatisfied
73422,Frequent Traveler,41,Work Commute,First Class,3891,5,5,5,5,1,5,2,4,4,4,4,3,4,1,0,0,Sweden,2018,satisfied
73423,Frequent Traveler,69,Leisure Trip,Standard,996,5,5,5,5,2,4,5,5,5,5,5,4,5,5,0,5,Sweden,1938,satisfied
73424,Frequent Traveler,36,Work Commute,Standard,2069,4,1,1,1,4,4,4,4,3,3,2,3,5,4,0,0,Sweden,1976,satisfied
