Passenger Type,Age,Type of Trip,Ticket Class,Trip Distance,Seat comfort,Departure/Arrival time convenient,Dining Service,Platform Location,Onboard wifi service,Onboard entertainment,Online support,Ease of Online booking,Train Staff Service,Leg room service,Baggage handling,Ticket Verification Service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,nation,Train Model Year,satisfaction
Frequent Traveler,23.0,Work Commute,First Class,3045.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,0.0,0.0,Germany,1929.0,satisfied
Frequent Traveler,56.0,Work Commute,First Class,2430.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,18.0,4.0,Germany,1971.0,satisfied
Occasional Traveler,25.0,Work Commute,First Class,1207.0,5.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,0.0,0.0,Switzerland,2008.0,satisfied
Occasional Traveler,42.0,Work Commute,First Class,1256.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,0.0,0.0,Norway,2000.0,satisfied
Frequent Traveler,52.0,Work Commute,First Class,686.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,0.0,0.0,Belgium,1982.0,satisfied
Frequent Traveler,61.0,Work Commute,Standard,1576.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,1.0,3.0,2.0,3.0,3.0,0.0,4.0,Netherlands,1972.0,satisfied
Frequent Traveler,77.0,Work Commute,First Class,2189.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,14.0,0.0,Netherlands,1932.0,dissatisfied
Frequent Traveler,62.0,Leisure Trip,Standard,831.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,Spain,2013.0,satisfied
Frequent Traveler,56.0,Leisure Trip,Standard,343.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,23.0,13.0,France,1940.0,dissatisfied
Frequent Traveler,71.0,Work Commute,Standard,1460.0,4.0,2.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,0.0,0.0,Belgium,1957.0,dissatisfied
Frequent Traveler,9.0,Leisure Trip,Standard,1759.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,1.0,19.0,29.0,Austria,1989.0,dissatisfied
Frequent Traveler,33.0,Work Commute,Standard,2352.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,5.0,4.0,0.0,0.0,Switzerland,1986.0,satisfied
Frequent Traveler,54.0,Work Commute,First Class,2029.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,3.0,France,1940.0,satisfied
Frequent Traveler,59.0,Work Commute,First Class,2421.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,8.0,Austria,1943.0,satisfied
Occasional Traveler,22.0,Work Commute,Standard,1631.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,1.0,4.0,4.0,0.0,0.0,Italy,1987.0,dissatisfied
Occasional Traveler,22.0,Work Commute,Standard,2523.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,30.0,47.0,France,1965.0,dissatisfied
Frequent Traveler,19.0,Leisure Trip,Standard,1672.0,4.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,Belgium,2016.0,satisfied
Frequent Traveler,44.0,Work Commute,Standard,2505.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,Spain,2016.0,satisfied
Occasional Traveler,23.0,Work Commute,Standard,1046.0,3.0,0.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,0.0,0.0,Germany,1976.0,dissatisfied
Occasional Traveler,37.0,Work Commute,First Class,2699.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,2.0,5.0,3.0,1.0,4.0,4.0,10.0,9.0,Netherlands,2018.0,dissatisfied
Occasional Traveler,36.0,Work Commute,First Class,1923.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,2.0,53.0,53.0,Germany,1952.0,dissatisfied
Frequent Traveler,53.0,Leisure Trip,Standard,998.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,Norway,1989.0,satisfied
Frequent Traveler,27.0,Work Commute,First Class,1878.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,12.0,0.0,Germany,1953.0,dissatisfied
Frequent Traveler,45.0,Work Commute,Standard,243.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,0.0,0.0,Netherlands,1992.0,satisfied
Frequent Traveler,41.0,Leisure Trip,Standard,1764.0,0.0,4.0,0.0,3.0,4.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,0.0,0.0,France,2012.0,satisfied
Frequent Traveler,43.0,Work Commute,First Class,1962.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,0.0,0.0,Sweden,2003.0,satisfied
Occasional Traveler,17.0,Work Commute,Standard,1845.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,0.0,0.0,Austria,1952.0,dissatisfied
Frequent Traveler,38.0,Leisure Trip,First Class,1076.0,2.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,0.0,0.0,Italy,1993.0,dissatisfied
Frequent Traveler,21.0,Leisure Trip,Standard,1375.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,0.0,France,1969.0,satisfied
Frequent Traveler,31.0,Work Commute,First Class,2986.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,0.0,0.0,Sweden,1955.0,satisfied
Occasional Traveler,28.0,Work Commute,Standard,2094.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,0.0,0.0,Belgium,1995.0,dissatisfied
Frequent Traveler,8.0,Leisure Trip,Standard,1470.0,3.0,5.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,Italy,1961.0,dissatisfied
Frequent Traveler,51.0,Leisure Trip,Standard,345.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,Sweden,2014.0,satisfied
Frequent Traveler,57.0,Leisure Trip,Standard,2140.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,6.0,0.0,France,2015.0,satisfied
Frequent Traveler,45.0,Work Commute,First Class,1955.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,Sweden,1957.0,dissatisfied
Occasional Traveler,25.0,Work Commute,Standard,2132.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,5.0,0.0,0.0,Norway,1952.0,dissatisfied
Frequent Traveler,42.0,Work Commute,Standard,2002.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,0.0,0.0,Sweden,1947.0,dissatisfied
Frequent Traveler,55.0,Work Commute,Standard,1052.0,5.0,1.0,3.0,1.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0,Norway,1948.0,satisfied
Occasional Traveler,23.0,Work Commute,Standard,1669.0,4.0,5.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,0.0,0.0,Spain,2000.0,satisfied
Frequent Traveler,70.0,Work Commute,First Class,2512.0,1.0,5.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,37.0,33.0,France,1939.0,dissatisfied
Frequent Traveler,43.0,Work Commute,First Class,2744.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,10.0,Norway,1936.0,dissatisfied
Frequent Traveler,46.0,Leisure Trip,Standard,1778.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,6.0,0.0,Belgium,1940.0,dissatisfied
Frequent Traveler,70.0,Leisure Trip,Standard,1520.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,5.0,4.0,0.0,0.0,France,2003.0,dissatisfied
Frequent Traveler,47.0,Work Commute,Standard,2394.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,0.0,0.0,France,1932.0,dissatisfied
Frequent Traveler,70.0,Leisure Trip,Standard,2038.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0,5.0,2.0,79.0,71.0,Germany,1959.0,dissatisfied
Frequent Traveler,35.0,Work Commute,First Class,4021.0,2.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,Germany,1985.0,dissatisfied
Frequent Traveler,47.0,Work Commute,First Class,2334.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,Sweden,1945.0,satisfied
Frequent Traveler,43.0,Work Commute,First Class,3947.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,Spain,2009.0,satisfied
Frequent Traveler,48.0,Leisure Trip,Standard,1072.0,2.0,1.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,43.0,24.0,Netherlands,1939.0,satisfied
Frequent Traveler,67.0,Leisure Trip,First Class,81.0,2.0,5.0,0.0,4.0,5.0,5.0,5.0,2.0,2.0,0.0,2.0,4.0,2.0,5.0,36.0,34.0,Switzerland,2008.0,dissatisfied
Frequent Traveler,26.0,Work Commute,First Class,3506.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,19.0,60.0,Germany,1961.0,satisfied
Frequent Traveler,39.0,Work Commute,First Class,4017.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0,Netherlands,1959.0,satisfied
Frequent Traveler,38.0,Work Commute,First Class,331.0,0.0,0.0,0.0,3.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,Belgium,2001.0,satisfied
Frequent Traveler,17.0,Work Commute,Standard,1742.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,39.0,28.0,Germany,1990.0,dissatisfied
Frequent Traveler,56.0,Leisure Trip,Standard,2501.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,0.0,0.0,Spain,1929.0,satisfied
Frequent Traveler,45.0,Work Commute,First Class,3855.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,Netherlands,1954.0,satisfied
Frequent Traveler,59.0,Work Commute,First Class,2234.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,0.0,0.0,Switzerland,2000.0,satisfied
Frequent Traveler,68.0,Leisure Trip,Standard,2030.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,16.0,12.0,Italy,1946.0,dissatisfied
Frequent Traveler,42.0,Work Commute,Standard,2077.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,Italy,1935.0,dissatisfied
Frequent Traveler,57.0,Work Commute,First Class,3417.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,19.0,34.0,Spain,2001.0,satisfied
Frequent Traveler,60.0,Leisure Trip,Standard,257.0,5.0,4.0,5.0,3.0,2.0,4.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,0.0,0.0,Belgium,1982.0,satisfied
Occasional Traveler,35.0,Work Commute,Standard,1982.0,1.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,4.0,2.0,4.0,5.0,27.0,27.0,Austria,1975.0,dissatisfied
Frequent Traveler,41.0,Work Commute,First Class,908.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,5.0,7.0,Italy,2015.0,dissatisfied
Frequent Traveler,47.0,Leisure Trip,Standard,2295.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,0.0,17.0,Netherlands,1946.0,dissatisfied
Frequent Traveler,21.0,Leisure Trip,First Class,2741.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,10.0,1.0,Austria,1986.0,dissatisfied
Frequent Traveler,35.0,Leisure Trip,Standard,1703.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,0.0,Italy,1947.0,dissatisfied
Frequent Traveler,14.0,Leisure Trip,Standard,2094.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,France,2014.0,satisfied
Frequent Traveler,64.0,Leisure Trip,Standard,2990.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,Netherlands,1942.0,dissatisfied
Frequent Traveler,60.0,Work Commute,Standard,1426.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,0.0,6.0,Sweden,1952.0,satisfied
Frequent Traveler,42.0,Work Commute,First Class,2403.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,Sweden,1941.0,satisfied
Frequent Traveler,47.0,Work Commute,First Class,392.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,Sweden,2020.0,satisfied
Frequent Traveler,46.0,Work Commute,Comfort,654.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,0.0,Sweden,1999.0,satisfied
Frequent Traveler,34.0,Leisure Trip,Standard,2203.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,5.0,2.0,1.0,1.0,5.0,0.0,0.0,Sweden,1993.0,dissatisfied
Frequent Traveler,58.0,Work Commute,First Class,2913.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,0.0,15.0,Switzerland,1930.0,satisfied
Frequent Traveler,29.0,Work Commute,First Class,2347.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,4.0,2.0,27.0,23.0,Italy,2001.0,dissatisfied
Frequent Traveler,34.0,Work Commute,First Class,2546.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,France,1974.0,dissatisfied
Frequent Traveler,59.0,Work Commute,First Class,2419.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,2.0,Belgium,1961.0,satisfied
Frequent Traveler,54.0,Leisure Trip,Standard,570.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,Switzerland,1979.0,satisfied
Frequent Traveler,60.0,Leisure Trip,Standard,1631.0,2.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,1.0,4.0,4.0,0.0,0.0,Netherlands,1962.0,satisfied
Occasional Traveler,40.0,Work Commute,First Class,1980.0,2.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,2.0,3.0,3.0,5.0,5.0,5.0,0.0,0.0,Norway,1979.0,dissatisfied
Frequent Traveler,52.0,Work Commute,First Class,2786.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,13.0,32.0,Switzerland,2020.0,satisfied
Frequent Traveler,19.0,Leisure Trip,Standard,1661.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,6.0,22.0,Norway,1979.0,dissatisfied
Frequent Traveler,24.0,Work Commute,Standard,2837.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,0.0,0.0,Belgium,1956.0,dissatisfied
Frequent Traveler,35.0,Leisure Trip,Standard,1617.0,5.0,1.0,5.0,4.0,1.0,5.0,1.0,1.0,4.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,Germany,1937.0,satisfied
Frequent Traveler,22.0,Leisure Trip,Standard,2833.0,2.0,5.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,6.0,41.0,Belgium,2001.0,dissatisfied
Frequent Traveler,31.0,Work Commute,First Class,4944.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,0.0,Netherlands,1974.0,satisfied
Frequent Traveler,58.0,Work Commute,First Class,2895.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,11.0,9.0,Norway,1933.0,satisfied
Frequent Traveler,48.0,Work Commute,First Class,2453.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,48.0,34.0,Switzerland,1938.0,satisfied
Frequent Traveler,45.0,Work Commute,First Class,399.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,25.0,30.0,Spain,1946.0,satisfied
Frequent Traveler,24.0,Work Commute,Standard,1998.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,5.0,5.0,5.0,0.0,0.0,Switzerland,1967.0,satisfied
Frequent Traveler,9.0,Leisure Trip,Standard,2828.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,5.0,1.0,0.0,0.0,Netherlands,1995.0,dissatisfied
Occasional Traveler,22.0,Work Commute,Standard,2465.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,5.0,6.0,Italy,1982.0,dissatisfied
Frequent Traveler,35.0,Work Commute,First Class,2880.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,0.0,0.0,Belgium,1978.0,satisfied
Occasional Traveler,25.0,Work Commute,Standard,2224.0,3.0,0.0,4.0,3.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,2.0,5.0,0.0,0.0,Switzerland,1966.0,dissatisfied
Frequent Traveler,51.0,Work Commute,First Class,2764.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,17.0,0.0,Germany,1946.0,satisfied
Frequent Traveler,61.0,Work Commute,Standard,406.0,4.0,5.0,1.0,5.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,0.0,0.0,Switzerland,1952.0,satisfied
Frequent Traveler,58.0,Work Commute,Standard,2948.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,France,2012.0,dissatisfied
Frequent Traveler,23.0,Leisure Trip,Standard,1968.0,1.0,5.0,2.0,3.0,5.0,2.0,5.0,5.0,3.0,2.0,5.0,4.0,4.0,5.0,9.0,4.0,Italy,2003.0,dissatisfied
Frequent Traveler,25.0,Work Commute,Comfort,1686.0,5.0,1.0,1.0,1.0,5.0,5.0,3.0,5.0,2.0,4.0,3.0,1.0,5.0,5.0,0.0,0.0,Spain,2000.0,satisfied
Frequent Traveler,45.0,Work Commute,First Class,397.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,60.0,41.0,Spain,2008.0,satisfied
Frequent Traveler,55.0,Work Commute,Standard,203.0,4.0,5.0,5.0,5.0,2.0,5.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,0.0,0.0,Norway,1961.0,satisfied
Frequent Traveler,48.0,Work Commute,Standard,454.0,5.0,4.0,2.0,4.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,8.0,Norway,1956.0,satisfied
Frequent Traveler,62.0,Work Commute,Comfort,1894.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,8.0,6.0,Germany,2004.0,dissatisfied
Occasional Traveler,40.0,Work Commute,First Class,1795.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,4.0,3.0,4.0,5.0,4.0,1.0,0.0,0.0,Italy,2000.0,satisfied
Frequent Traveler,37.0,Work Commute,Standard,1310.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,4.0,0.0,Germany,1931.0,dissatisfied
Frequent Traveler,16.0,Leisure Trip,Standard,2872.0,2.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,5.0,3.0,3.0,5.0,1.0,22.0,0.0,Belgium,1953.0,dissatisfied
Frequent Traveler,36.0,Leisure Trip,Standard,3815.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,5.0,4.0,3.0,4.0,4.0,1.0,4.0,0.0,Austria,1929.0,dissatisfied
Frequent Traveler,47.0,Work Commute,First Class,284.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,0.0,0.0,Switzerland,1943.0,dissatisfied
Frequent Traveler,40.0,Leisure Trip,Standard,1928.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,0.0,0.0,France,1983.0,satisfied
Frequent Traveler,41.0,Work Commute,Standard,2684.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0,2.0,2.0,3.0,11.0,0.0,France,1981.0,satisfied
Occasional Traveler,36.0,Work Commute,Standard,1982.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,4.0,0.0,0.0,Switzerland,2010.0,dissatisfied
Frequent Traveler,35.0,Work Commute,First Class,2200.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,17.0,0.0,Switzerland,1972.0,satisfied
Frequent Traveler,8.0,Leisure Trip,Standard,2037.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,0.0,0.0,Switzerland,1993.0,satisfied
Frequent Traveler,60.0,Work Commute,First Class,2329.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,0.0,0.0,Austria,1949.0,satisfied
Occasional Traveler,24.0,Work Commute,Standard,1549.0,4.0,0.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,0.0,0.0,Sweden,1999.0,satisfied
Occasional Traveler,30.0,Work Commute,Comfort,1284.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,1.0,0.0,0.0,Italy,2005.0,dissatisfied
Frequent Traveler,15.0,Leisure Trip,Standard,1957.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,7.0,Switzerland,1966.0,satisfied
Occasional Traveler,29.0,Work Commute,Standard,2369.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,7.0,0.0,Spain,1975.0,dissatisfied
Frequent Traveler,36.0,Leisure Trip,Comfort,1578.0,4.0,5.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,5.0,2.0,7.0,0.0,Italy,1959.0,satisfied
Frequent Traveler,55.0,Work Commute,Standard,123.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,France,1970.0,satisfied
Frequent Traveler,41.0,Work Commute,First Class,2749.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,0.0,2.0,Austria,1977.0,satisfied
Frequent Traveler,37.0,Leisure Trip,Standard,1865.0,2.0,5.0,2.0,3.0,5.0,2.0,5.0,5.0,4.0,2.0,3.0,3.0,4.0,5.0,8.0,0.0,Spain,1929.0,dissatisfied
Frequent Traveler,42.0,Work Commute,Standard,658.0,4.0,4.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,11.0,8.0,Spain,1955.0,satisfied
Frequent Traveler,22.0,Work Commute,Standard,2294.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,1.0,5.0,4.0,0.0,0.0,Switzerland,1934.0,satisfied
Frequent Traveler,46.0,Leisure Trip,Standard,1167.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,39.0,27.0,Sweden,1961.0,satisfied
Frequent Traveler,63.0,Work Commute,First Class,1783.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,4.0,0.0,0.0,Belgium,1932.0,satisfied
Occasional Traveler,8.0,Work Commute,First Class,2019.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,2.0,0.0,0.0,France,1965.0,dissatisfied
Occasional Traveler,38.0,Work Commute,First Class,1635.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,24.0,15.0,Germany,1977.0,dissatisfied
